uniprot_id,protein_name,length,disorder_content
Q9NR48,Histone-lysine N-methyltransferase ASH1L,2969,0.275
Q9UHC3,Acid-sensing ion channel 3,531,0.179
Q9NY37,Acid-sensing ion channel 5,505,0.075
Q96FT7,Acid-sensing ion channel 4,539,0.366
P42127,Agouti-signaling protein,132,0.727
Q92484,Cyclic GMP-AMP phosphodiesterase SMPDL3A,453,0.071
Q92485,Acid sphingomyelinase-like phosphodiesterase 3b,455,0.086
O95671,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,621,0.119
P46597,Acetylserotonin O-methyltransferase,345,0.006
P17405,Sphingomyelin phosphodiesterase,631,0.101
Q9NWL6,Asparagine synthetase domain-containing protein 1,643,0.076
P08243,Asparagine synthetase [glutamine-hydrolyzing],561,0.0
Q9BZE9,Tether containing UBX domain for GLUT4,553,0.425
A6ND91,Aspartate dehydrogenase domain-containing protein,283,0.0
P20933,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,346,0.092
Q6ICH7,Aspartate beta-hydroxylase domain-containing protein 2,369,0.257
Q5U4P2,Aspartate beta-hydroxylase domain-containing protein 1,390,0.367
Q12797,Aspartyl/asparaginyl beta-hydroxylase,758,0.391
Q9BXN1,Asporin,380,0.168
Q13625,Apoptosis-stimulating of p53 protein 2,1128,0.719
Q96KQ4,Apoptosis-stimulating of p53 protein 1,1090,0.656
P26436,Acrosomal protein SP-10,265,0.691
Q8IZT6,Abnormal spindle-like microcephaly-associated protein,3477,0.024
P00966,Argininosuccinate synthase,412,0.075
Q2TB18,Protein asteroid homolog 1,679,0.088
Q9Y284,PAT complex subunit Asterix,106,0.434
Q6HA08,Astacin-like metalloendopeptidase,431,0.429
L0R819,ASNSD1 upstream open reading frame protein,96,0.24
Q3KR37,Protein Aster-B,738,0.504
Q96CP6,Protein Aster-A,724,0.493
Q8IYS0,Protein Aster-C,662,0.502
O75129,Astrotactin-2,1339,0.417
O14525,Astrotactin-1,1302,0.376
Q76L83,Putative Polycomb group protein ASXL2,1435,0.863
Q8IXJ9,Polycomb group protein ASXL1,1541,0.868
Q8WWH4,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1",475,0.341
Q9C0F0,Putative Polycomb group protein ASXL3,2248,0.899
Q9Y2G3,Phospholipid-transporting ATPase IF,1177,0.115
Q8NB49,Phospholipid-transporting ATPase IG,1132,0.067
P98196,Phospholipid-transporting ATPase IH,1134,0.061
P54707,Potassium-transporting ATPase alpha chain 2,1039,0.042
Q9P241,Phospholipid-transporting ATPase VD,1426,0.231
O94823,Phospholipid-transporting ATPase VB,1461,0.229
Q9NQ11,Polyamine-transporting ATPase 13A2,1180,0.084
O60312,Phospholipid-transporting ATPase VA,1499,0.286
Q4VNC1,Probable cation-transporting ATPase 13A4,1196,0.059
Q9H7F0,Polyamine-transporting ATPase 13A3,1226,0.12
Q4VNC0,Probable cation-transporting ATPase 13A5,1218,0.074
Q9HD20,Endoplasmic reticulum transmembrane helix translocase,1204,0.081
P05023,Sodium/potassium-transporting ATPase subunit alpha-1,1023,0.027
P50993,Sodium/potassium-transporting ATPase subunit alpha-2,1020,0.025
P13637,Sodium/potassium-transporting ATPase subunit alpha-3,1013,0.018
Q13733,Sodium/potassium-transporting ATPase subunit alpha-4,1029,0.033
P05026,Sodium/potassium-transporting ATPase subunit beta-1,303,0.063
P14415,Sodium/potassium-transporting ATPase subunit beta-2,290,0.062
P54709,Sodium/potassium-transporting ATPase subunit beta-3,279,0.061
Q9UN42,Protein ATP1B4,357,0.23
O14983,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,1001,0.006
P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,1042,0.022
Q93084,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,999,0.0
P20020,Plasma membrane calcium-transporting ATPase 1,1220,0.197
Q01814,Plasma membrane calcium-transporting ATPase 2,1243,0.22
P98194,Calcium-transporting ATPase type 2C member 1,919,0.032
O75185,Calcium-transporting ATPase type 2C member 2,946,0.06
P23634,Plasma membrane calcium-transporting ATPase 4,1241,0.218
Q16720,Plasma membrane calcium-transporting ATPase 3,1220,0.189
Q8IUZ5,5-phosphohydroxy-L-lysine phospho-lyase,450,0.038
Q8TBG4,Ethanolamine-phosphate phospho-lyase,499,0.13
Q5VTU8,"ATP synthase subunit epsilon-like protein, mitochondrial",51,0.529
P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",256,0.531
P05496,"ATP synthase F(0) complex subunit C1, mitochondrial",136,0.441
Q06055,"ATP synthase F(0) complex subunit C2, mitochondrial",141,0.475
P48201,"ATP synthase F(0) complex subunit C3, mitochondrial",142,0.472
Q7Z4Y8,"Putative ATP synthase subunit g 2, mitochondrial",100,0.95
Q14CW9,Ataxin-7-like protein 3,347,0.689
Q9ULK2,Ataxin-7-like protein 1,861,0.875
Q5T6C5,Ataxin-7-like protein 2,722,0.864
Q9Y2Q0,Phospholipid-transporting ATPase IA,1164,0.047
Q9NTI2,Phospholipid-transporting ATPase IB,1188,0.1
O43520,Phospholipid-transporting ATPase IC,1251,0.105
P98198,Phospholipid-transporting ATPase ID,1209,0.088
P0DMR3,Putative protein ATXN8OS,200,0.565
O60423,Phospholipid-transporting ATPase IK,1300,0.158
Q8TF62,Probable phospholipid-transporting ATPase IM,1192,0.086
Q8NBU5,Outer mitochondrial transmembrane helix translocase,361,0.097
Q6PL18,ATPase family AAA domain-containing protein 2,1390,0.439
Q5TC04,Putative uncharacterized protein ATP1A1-AS1,95,0.979
Q96QE3,ATPase family AAA domain-containing protein 5,1844,0.712
Q5SQI0,Alpha-tubulin N-acetyltransferase 1,421,0.534
Q86WG3,Caytaxin,371,0.507
Q5T2N8,ATPase family AAA domain-containing protein 3C,411,0.185
Q5T9A4,ATPase family AAA domain-containing protein 3B,648,0.418
Q9NVI7,ATPase family AAA domain-containing protein 3A,634,0.33
Q9ULI0,ATPase family AAA domain-containing protein 2B,1458,0.484
O95260,Arginyl-tRNA--protein transferase 1,518,0.208
P18846,Cyclic AMP-dependent transcription factor ATF-1,271,0.716
P15336,Cyclic AMP-dependent transcription factor ATF-2,505,0.929
P18847,Cyclic AMP-dependent transcription factor ATF-3,181,0.724
P18848,Cyclic AMP-dependent transcription factor ATF-4,351,0.932
Q9Y2D1,Cyclic AMP-dependent transcription factor ATF-5,282,0.819
P18850,Cyclic AMP-dependent transcription factor ATF-6 alpha,670,0.845
P17544,Cyclic AMP-dependent transcription factor ATF-7,483,0.909
Q99941,Cyclic AMP-dependent transcription factor ATF-6 beta,703,0.856
Q9H0Y0,Ubiquitin-like-conjugating enzyme ATG10,220,0.186
O94817,Ubiquitin-like protein ATG12,140,0.379
O75143,Autophagy-related protein 13,517,0.623
Q2TAZ0,Autophagy-related protein 2 homolog A,1938,0.269
Q96BY7,Autophagy-related protein 2 homolog B,2078,0.299
Q9NT62,Ubiquitin-like-conjugating enzyme ATG3,314,0.248
Q8WYN0,Cysteine protease ATG4A,398,0.198
Q9Y4P1,Cysteine protease ATG4B,393,0.112
Q96DT6,Cysteine protease ATG4C,458,0.177
Q86TL0,Cysteine protease ATG4D,474,0.266
Q9H1Y0,Autophagy protein 5,275,0.0
O95352,Ubiquitin-like modifier-activating enzyme ATG7,703,0.06
Q7Z3C6,Autophagy-related protein 9A,839,0.255
Q674R7,Autophagy-related protein 9B,924,0.318
Q9BSB4,Autophagy-related protein 101,218,0.06
Q9UII2,"ATPase inhibitor, mitochondrial",106,0.594
Q8N6G6,ADAMTS-like protein 1,1762,0.172
Q86TH1,ADAMTS-like protein 2,951,0.34
P82987,ADAMTS-like protein 3,1691,0.277
Q6UY14,ADAMTS-like protein 4,1074,0.408
Q6ZMM2,ADAMTS-like protein 5,481,0.175
Q8WXF7,Atlastin-1,558,0.116
Q6DD88,Atlastin-3,541,0.074
Q8NHH9,Atlastin-2,583,0.144
O43313,ATM interactor,823,0.838
Q13315,Serine-protein kinase ATM,3056,
P54259,Atrophin-1,1190,0.931
P54710,Sodium/potassium-transporting ATPase subunit gamma,66,0.955
Q92858,Transcription factor ATOH1,354,0.864
Q8N100,Transcription factor ATOH7,152,0.586
Q96SQ7,Transcription factor ATOH8,321,0.754
Q7L5A3,Atos homolog protein B,538,0.641
Q32MH5,Atos homolog protein A,1076,0.612
O00244,Copper transport protein ATOX1,68,0.0
Q9Y6H3,Mitochondrial inner membrane protease ATP23 homolog,246,0.179
P51164,Potassium-transporting ATPase subunit beta,291,0.069
P20648,Potassium-transporting ATPase alpha chain 1,1035,0.038
P56381,"ATP synthase subunit epsilon, mitochondrial",51,0.51
O75947,"ATP synthase subunit d, mitochondrial",161,0.509
P56385,"ATP synthase subunit e, mitochondrial",69,0.594
P18859,"ATP synthase-coupling factor 6, mitochondrial",108,0.861
O75964,"ATP synthase subunit g, mitochondrial",103,0.786
Q99766,"ATP synthase subunit s, mitochondrial",200,0.186
P56378,"ATP synthase subunit ATP5MJ, mitochondrial",58,0.931
P00846,ATP synthase subunit a,226,0.053
Q04656,Copper-transporting ATPase 1,1500,0.16
P35670,Copper-transporting ATPase 2,1465,0.208
P03928,ATP synthase protein 8,68,1.0
O75110,Probable phospholipid-transporting ATPase IIA,1047,0.056
O43861,Probable phospholipid-transporting ATPase IIB,1147,0.127
P25705,"ATP synthase subunit alpha, mitochondrial",553,0.101
P06576,"ATP synthase subunit beta, mitochondrial",529,0.1
P30049,"ATP synthase subunit delta, mitochondrial",168,0.173
Q5TC12,ATP synthase mitochondrial F1 complex assembly factor 1,328,0.216
Q8N5M1,ATP synthase mitochondrial F1 complex assembly factor 2,289,0.187
P36542,"ATP synthase subunit gamma, mitochondrial",298,0.138
P56134,"ATP synthase subunit f, mitochondrial",94,0.67
Q96IX5,"ATP synthase membrane subunit K, mitochondrial",58,0.603
P48047,"ATP synthase subunit O, mitochondrial",213,0.16
Q6ZP68,Putative protein ATP11AUN,121,0.603
Q6RW13,Type-1 angiotensin II receptor-associated protein,159,0.277
O75882,Attractin,1429,0.141
Q8WXE1,ATR-interacting protein,791,0.43
Q5VV63,Attractin-like protein 1,1379,0.107
Q9H324,A disintegrin and metalloproteinase with thrombospondin motifs 10,1103,0.099
Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,1427,0.189
Q8TE59,A disintegrin and metalloproteinase with thrombospondin motifs 19,1207,0.21
Q8TE58,A disintegrin and metalloproteinase with thrombospondin motifs 15,950,0.174
Q8TE56,A disintegrin and metalloproteinase with thrombospondin motifs 17,1095,0.162
O75173,A disintegrin and metalloproteinase with thrombospondin motifs 4,837,0.128
Q8WXS8,A disintegrin and metalloproteinase with thrombospondin motifs 14,1223,0.264
Q9UHI8,A disintegrin and metalloproteinase with thrombospondin motifs 1,967,0.199
P46100,Transcriptional regulator ATRX,2492,0.591
P58397,A disintegrin and metalloproteinase with thrombospondin motifs 12,1594,0.294
P59510,A disintegrin and metalloproteinase with thrombospondin motifs 20,1910,0.169
Q8TE57,A disintegrin and metalloproteinase with thrombospondin motifs 16,1224,0.186
Q8TE60,A disintegrin and metalloproteinase with thrombospondin motifs 18,1221,0.169
Q13535,Serine/threonine-protein kinase ATR,2644,0.036
Q9UKP5,A disintegrin and metalloproteinase with thrombospondin motifs 6,1117,0.09
O15072,A disintegrin and metalloproteinase with thrombospondin motifs 3,1205,0.207
Q9UNA0,A disintegrin and metalloproteinase with thrombospondin motifs 5,930,0.185
Q9UP79,A disintegrin and metalloproteinase with thrombospondin motifs 8,889,0.137
O95450,A disintegrin and metalloproteinase with thrombospondin motifs 2,1211,0.258
Q9UKP4,A disintegrin and metalloproteinase with thrombospondin motifs 7,1686,0.324
Q9P2N4,A disintegrin and metalloproteinase with thrombospondin motifs 9,1935,0.14
P17735,Tyrosine aminotransferase,454,0.132
Q9UBB4,Ataxin-10,475,0.048
P0C7T5,Ataxin-1-like,689,0.827
P54253,Ataxin-1,815,0.856
Q8WWM7,Ataxin-2-like protein,1075,0.898
Q99700,Ataxin-2,1313,0.912
Q9H3M9,Ataxin-3-like protein,355,0.363
P54252,Ataxin-3,361,0.427
Q156A1,Ataxin-8,80,1.0
O15265,Ataxin-7,892,0.88
Q9H1Z8,Augurin,148,0.784
Q13825,"Methylglutaconyl-CoA hydratase, mitochondrial",339,0.224
Q9H7T9,Aurora kinase A- and ninein-interacting protein,357,0.986
Q9Y679,Lipid droplet-regulating VLDL assembly factor AUP1,410,0.198
O14965,Aurora kinase A,403,0.325
Q96GD4,Aurora kinase B,344,0.212
Q9UQB9,Aurora kinase C,309,0.165
Q8WXX7,Autism susceptibility gene 2 protein,1259,0.944
O75061,Auxilin,913,0.486
Q9NQS1,Cell death regulator Aven,362,0.983
O75366,Advillin,819,0.032
Q8NBF6,Late secretory pathway protein AVL9 homolog,648,0.306
Q5T686,Arginine vasopressin-induced protein 1,147,0.755
P27037,Activin receptor type-2A,513,0.207
Q13705,Activin receptor type-2B,512,0.234
Q58HT5,Acyl-CoA wax alcohol acyltransferase 1,328,0.0
Q6E213,Acyl-CoA wax alcohol acyltransferase 2,333,0.018
Q3ZCQ2,Annexin-2 receptor,193,1.0
A6NMY6,Putative annexin A2-like protein,339,0.068
Q5VT79,Annexin A8-like protein 1,327,0.009
Q5T1B0,Axonemal dynein light chain domain-containing protein 1,1012,0.359
O15169,Axin-1,862,0.739
Q9Y2T1,Axin-2,843,0.721
Q9H6S1,5-azacytidine-induced protein 2,392,0.719
O14977,Antizyme inhibitor 1,448,0.04
Q96A70,Antizyme inhibitor 2,460,0.093
Q92843,Bcl-2-like protein 2,193,0.093
Q07817,Bcl-2-like protein 1,233,0.275
Q9HD36,Bcl-2-like protein 10,204,0.176
O43521,Bcl-2-like protein 11,198,0.909
Q5TBC7,Bcl-2-like protein 15,163,0.11
Q9BZR8,Apoptosis facilitator Bcl-2-like protein 14,327,0.486
Q9HB09,Bcl-2-like protein 12,250,0.76
Q16548,Bcl-2-related protein A1,175,0.0
Q9BXK5,Bcl-2-like protein 13,485,0.592
P61769,Beta-2-microglobulin,119,0.126
P59052,Putative uncharacterized protein B3GALT5-AS1,145,1.0
P04920,Anion exchange protein 2,1241,0.385
Q96Q91,Anion exchange protein 4,983,0.232
P48751,Anion exchange protein 3,1232,0.373
O75752,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",331,0.118
Q9NPZ5,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2,323,0.288
Q9P2W7,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,334,0.272
P02730,Band 3 anion transport protein,911,0.075
O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,335,0.239
Q8NCR0,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2",500,0.092
Q9NY97,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",397,0.128
Q6Y288,"Beta-1,3-glucosyltransferase",498,0.098
Q9Y2A9,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3",372,0.188
Q9BYG0,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",378,0.074
Q8NFL0,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",401,0.239
Q9C0J1,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4",378,0.228
Q6ZMB0,"Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase",384,0.211
Q9Y5Z6,"Beta-1,3-galactosyltransferase 1",326,0.181
Q6UX72,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9",402,0.211
Q7Z7M8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",397,0.101
O96024,"Beta-1,3-galactosyltransferase 4",378,0.09
Q9Y2C3,"Beta-1,3-galactosyltransferase 5",310,0.123
O43825,"Beta-1,3-galactosyltransferase 2",422,0.346
Q96L58,"Beta-1,3-galactosyltransferase 6",329,0.155
A8MXE2,"Beta-1,3-galactosyltransferase 9",369,0.079
O43505,"Beta-1,4-glucuronyltransferase 1",415,0.104
Q00973,"Beta-1,4 N-acetylgalactosaminyltransferase 1",533,0.129
Q8NHY0,"Beta-1,4 N-acetylgalactosaminyltransferase 2",566,0.254
Q6L9W6,"Beta-1,4-N-acetylgalactosaminyltransferase 3",998,0.355
Q76KP1,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1,1039,0.4
P15291,"Beta-1,4-galactosyltransferase 1",398,0.329
O60909,"Beta-1,4-galactosyltransferase 2",372,0.263
O60512,"Beta-1,4-galactosyltransferase 3",393,0.178
O60513,"Beta-1,4-galactosyltransferase 4",344,0.16
O43286,"Beta-1,4-galactosyltransferase 5",388,0.155
Q9UBX8,"Beta-1,4-galactosyltransferase 6",382,0.147
Q9UBV7,"Beta-1,4-galactosyltransferase 7",327,0.254
Q9UPM9,B9 domain-containing protein 1,204,0.098
Q9BPU9,B9 domain-containing protein 2,175,0.0
Q8WXS3,Brain and acute leukemia cytoplasmic protein,145,1.0
Q14032,Bile acid-CoA:amino acid N-acyltransferase,418,0.007
P0C853,Putative uncharacterized protein BAALC-AS2,105,1.0
Q9NWV8,BRISC and BRCA1-A complex member 1,329,0.292
Q9NXR7,BRISC and BRCA1-A complex member 2,383,0.0
Q8WZ19,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1,329,0.286
Q13829,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,316,0.237
Q9H3F6,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,313,0.217
Q9Y5Z0,Beta-secretase 2,518,0.234
P56817,Beta-secretase 1,501,0.196
Q6ZUV0,Putative cytosolic acyl coenzyme A thioester hydrolase-like,252,0.04
O14867,Transcription regulator protein BACH1,736,0.689
O00154,Cytosolic acyl coenzyme A thioester hydrolase,380,0.166
Q9BYV9,Transcription regulator protein BACH2,841,0.74
Q92934,Bcl2-associated agonist of cell death,168,0.982
Q9H503,Barrier-to-autointegration factor-like protein,90,0.0
O75531,Barrier-to-autointegration factor,89,0.0
O95816,BAG family molecular chaperone regulator 2,211,0.223
Q99933,BAG family molecular chaperone regulator 1,345,0.42
Q9UL15,BAG family molecular chaperone regulator 5,447,0.0
O95429,BAG family molecular chaperone regulator 4,457,0.823
O95817,BAG family molecular chaperone regulator 3,575,0.816
P46379,Large proline-rich protein BAG6,1132,0.54
Q13072,B melanoma antigen 1,43,1.0
Q86Y30,B melanoma antigen 2,109,0.128
Q86Y29,B melanoma antigen 3,109,0.376
Q86Y27,B melanoma antigen 5,43,1.0
Q86Y28,B melanoma antigen 4,39,1.0
Q8TBE0,Bromo adjacent homology domain-containing 1 protein,780,0.745
Q9UQB8,BAR/IMD domain-containing adapter protein 2,552,0.478
Q16611,Bcl-2 homologous antagonist/killer,211,0.043
Q6ZNE5,Beclin 1-associated autophagy-related key regulator,492,0.364
O94812,BAI1-associated protein 3,1187,0.085
Q9P281,BAH and coiled-coil domain-containing protein 1,2639,0.876
Q13145,BMP and activin membrane-bound inhibitor homolog,260,0.669
Q8NDB2,B-cell scaffold protein with ankyrin repeats,785,0.563
Q8IXM2,Chromatin complexes subunit BAP18,172,0.75
Q8N9N5,Protein BANP,519,0.601
Q9UHQ4,B-cell receptor-associated protein 29,241,0.369
Q92560,Ubiquitin carboxyl-terminal hydrolase BAP1,729,0.494
P51572,B-cell receptor-associated protein 31,246,0.354
Q9BZE3,BarH-like 1 homeobox protein,327,0.722
Q99728,BRCA1-associated RING domain protein 1,777,0.471
Q9NY43,BarH-like 2 homeobox protein,387,0.827
Q9HBU1,Homeobox protein BarH-like 1,254,0.819
Q9UMQ3,Homeobox protein BarH-like 2,279,0.832
P35613,Basigin,385,0.192
P80723,Brain acid soluble protein 1,227,1.0
P82251,"b(0,+)-type amino acid transporter 1",487,0.043
Q9NR55,Basic leucine zipper transcriptional factor ATF-like 3,127,0.78
Q8N1L9,Basic leucine zipper transcriptional factor ATF-like 2,274,0.839
Q16520,Basic leucine zipper transcriptional factor ATF-like,125,0.768
Q07812,Apoptosis regulator BAX,192,0.062
Q9NRL2,Bromodomain adjacent to zinc finger domain protein 1A,1556,0.429
Q96PG8,"Bcl-2-binding component 3, isoforms 3/4",261,1.0
Q9BXH1,"Bcl-2-binding component 3, isoforms 1/2",193,0.927
Q9UIG0,Tyrosine-protein kinase BAZ1B,1483,0.381
Q9UIF9,Bromodomain adjacent to zinc finger domain protein 2A,1905,0.58
Q9UIF8,Bromodomain adjacent to zinc finger domain protein 2B,2168,0.606
A8MTZ0,BBSome-interacting protein 1,92,0.891
Q9BUW7,Bublin coiled-coil protein,83,0.855
Q8ND07,Basal body-orientation factor 1,529,0.223
Q8TAM1,Bardet-Biedl syndrome 10 protein,723,0.242
Q6ZW61,Bardet-Biedl syndrome 12 protein,710,0.234
Q8NFJ9,Bardet-Biedl syndrome 1 protein,593,0.086
Q9BXC9,Bardet-Biedl syndrome 2 protein,721,0.026
Q96RK4,Bardet-Biedl syndrome 4 protein,519,0.16
Q8N3I7,Bardet-Biedl syndrome 5 protein,341,0.15
Q8IWZ6,Bardet-Biedl syndrome 7 protein,715,0.034
Q9H165,B-cell lymphoma/leukemia 11A,835,0.817
Q9C0K0,B-cell lymphoma/leukemia 11B,894,0.818
Q8WY36,HMG box transcription factor BBX,941,0.926
P50895,Basal cell adhesion molecule,628,0.183
Q6ZUJ8,Phosphoinositide 3-kinase adapter protein 1,805,0.48
P56945,Breast cancer anti-estrogen resistance protein 1,870,0.538
O75815,Breast cancer anti-estrogen resistance protein 3,825,0.465
Q8TDM0,Breast carcinoma-amplified sequence 4,211,0.706
O75363,Breast carcinoma-amplified sequence 1,584,1.0
P54687,"Branched-chain-amino-acid aminotransferase, cytosolic",386,0.067
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",392,0.084
Q9H6U6,BCAS3 microtubule associated cell migration factor,928,0.412
Q9P287,BRCA2 and CDKN1A-interacting protein,314,0.197
Q9NWK9,Box C/D snoRNA protein 1,470,0.504
Q9HAY6,"Beta,beta-carotene 15,15'-dioxygenase",547,0.031
Q9BYV7,"Carotenoid-cleaving dioxygenase, mitochondrial",579,0.088
O60756,Putative protein BCE-1,84,1.0
O14874,Branched-chain alpha-ketoacid dehydrogenase kinase,412,0.131
O95999,B-cell lymphoma/leukemia 10,233,0.532
P10415,Apoptosis regulator Bcl-2,239,0.276
P20749,B-cell lymphoma 3 protein,454,0.474
Q4VC05,B-cell CLL/lymphoma 7 protein family member A,210,0.89
Q8N143,B-cell CLL/lymphoma 6 member B protein,479,0.57
P41182,B-cell lymphoma 6 protein,706,0.589
Q9BQE9,B-cell CLL/lymphoma 7 protein family member B,202,0.881
Q8WUZ0,B-cell CLL/lymphoma 7 protein family member C,217,0.834
P0C6P0,Putative protein BCL8,100,0.19
A2AJT9,BCLAF1 and THRAP3 family member 3,711,0.999
Q86UU0,B-cell CLL/lymphoma 9-like protein,1499,0.967
Q9NYF8,Bcl-2-associated transcription factor 1,920,1.0
Q8N888,Putative BCoR-like protein 2,145,1.0
O00512,B-cell CLL/lymphoma 9 protein,1426,0.952
Q6W2J9,BCL-6 corepressor,1755,0.859
Q5H9F3,BCL-6 corepressor-like protein 1,1785,0.868
P11274,Breakpoint cluster region protein,1271,0.346
Q9Y276,Mitochondrial chaperone BCS1,419,0.084
Q8IYS8,Biorientation of chromosomes in cell division protein 1-like 2,172,0.337
Q8NFC6,Biorientation of chromosomes in cell division protein 1-like 1,3051,0.578
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",343,0.137
P23560,Brain-derived neurotrophic factor,247,0.36
A6H8Y1,Transcription factor TFIIIB component B'' homolog,2624,0.939
Q3B7T3,Protein BEAN1,259,0.911
Q14457,Beclin-1,450,0.262
A8MW95,Beclin-2,431,0.241
Q9BUH8,Brain-enriched guanylate kinase-associated protein,593,0.776
Q7L4P6,BEN domain-containing protein 5,421,0.511
Q5SZJ8,BEN domain-containing protein 6,279,0.538
Q6ZU67,BEN domain-containing protein 4,534,0.728
Q5T5X7,BEN domain-containing protein 3,828,0.421
Q8NDZ0,BEN domain-containing protein 2,799,0.732
Q8N7W2,BEN domain-containing protein 7,413,0.699
O76090,Bestrophin-1,585,0.441
Q8NFU1,Bestrophin-2a,509,0.371
Q8NFU0,Bestrophin-4,473,0.34
Q8N1M1,Bestrophin-3,668,0.515
Q9NYM9,BET1-like protein,111,0.667
O15155,BET1 homolog,118,0.712
Q9HBH7,Protein BEX1,125,1.0
Q9BXY8,Protein BEX2,128,1.0
Q9NWD9,Protein BEX4,120,1.0
Q00994,Protein BEX3,111,0.892
Q5H9J7,Protein BEX5,111,0.874
Q9NZS9,Bifunctional apoptosis regulator,450,0.138
Q13515,Phakinin,415,0.487
Q12934,Filensin,665,0.687
P16278,Beta-galactosidase,677,0.103
P16442,Histo-blood group ABO system transferase,354,0.22
Q15582,Transforming growth factor-beta-induced protein ig-h3,683,0.101
Q6ZT62,Bargin,677,0.241
P08236,Beta-glucuronidase,651,0.061
Q6P575,Putative inactive beta-glucuronidase protein GUSBP11,273,0.44
Q7RTU4,Class A basic helix-loop-helix protein 9,235,0.804
Q7RTS1,Class A basic helix-loop-helix protein 15,189,0.693
Q8NFJ8,Class E basic helix-loop-helix protein 22,381,0.835
Q8NDY6,Class E basic helix-loop-helix protein 23,225,0.716
O14503,Class E basic helix-loop-helix protein 40,412,0.711
Q9C0J9,Class E basic helix-loop-helix protein 41,482,0.774
Q93088,Betaine--homocysteine S-methyltransferase 1,406,0.054
Q9H2M3,S-methylmethionine--homocysteine S-methyltransferase BHMT2,363,0.069
P55061,Bax inhibitor 1,237,0.055
Q9UHR4,BAR/IMD domain-containing adapter protein 2-like 1,511,0.44
Q6UXY1,BAR/IMD domain-containing adapter protein 2-like 2,529,0.484
Q96G01,Protein bicaudal D homolog 1,975,0.502
Q9H694,Protein bicaudal C homolog 1,974,0.54
Q8TD16,Protein bicaudal D homolog 2,824,0.476
Q6ZP65,BICD family-like cargo adapter 1,573,0.398
A1A5D9,BICD family-like cargo adapter 2,508,0.331
P55957,BH3-interacting domain death agonist,195,0.205
P53004,Biliverdin reductase A,296,0.0
Q9NZM4,BRD4-interacting chromatin-remodeling complex-associated protein,1560,0.94
Q6AI39,BRD4-interacting chromatin-remodeling complex-associated protein-like,1079,0.919
Q9Y6D6,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,1849,0.206
Q13323,Bcl-2-interacting killer,160,0.762
Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,1785,0.193
Q5TH69,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,2177,0.284
O00499,Myc box-dependent-interacting protein 1,593,0.442
Q9UBW5,Bridging integrator 2,565,0.6
Q9NQY0,Bridging integrator 3,253,0.146
P11021,Endoplasmic reticulum chaperone BiP,654,0.064
Q13075,Baculoviral IAP repeat-containing protein 1,1403,0.041
Q13490,Baculoviral IAP repeat-containing protein 2,618,0.189
Q13489,Baculoviral IAP repeat-containing protein 3,604,0.171
O15392,Baculoviral IAP repeat-containing protein 5,142,0.12
Q96CA5,Baculoviral IAP repeat-containing protein 7,298,0.49
Q96P09,Baculoviral IAP repeat-containing protein 8,236,0.186
Q86UB2,Basic immunoglobulin-like variable motif-containing protein,503,0.529
P46663,B1 bradykinin receptor,353,0.139
Q9NR09,Baculoviral IAP repeat-containing protein 6,4857,0.045
P30411,B2 bradykinin receptor,391,0.187
P78537,Biogenesis of lysosome-related organelles complex 1 subunit 1,153,0.516
Q6QNY1,Biogenesis of lysosome-related organelles complex 1 subunit 2,142,0.563
